"","Code","Name","Total Map Sheets"
"1","19 00100","Sioux, Clay, Dickinson, O'Brien, Lyon, Emmet, Palo Alto & Osceola Counties PUMA",3
"2","19 00200","Cerro Gordo, Floyd, Kossuth, Hancock, Winnebago, Mitchell & Worth Counties PUMA",1
"3","19 00400","Bremer, Winneshiek, Fayette, Clayton, Allamakee, Chickasaw & Howard Counties PUMA",1
"4","19 00500","Black Hawk County--Waterloo & Cedar Falls Cities PUMA",1
"5","19 00600","Webster, Hardin, Hamilton, Butler, Wright, Grundy, Franklin & Humboldt Counties PUMA",1
"6","19 00700","Dubuque, Buchanan, Jackson & Delaware Counties--Dubuque City PUMA",2
"7","19 00800","Clinton, Muscatine, Jones & Cedar Counties PUMA",1
"8","19 00900","Scott County--Davenport City PUMA",1
"9","19 01000","Linn County--Cedar Rapids City PUMA",1
"10","19 01100","Johnson County--Iowa City PUMA",1
"11","19 01200","Marshall, Benton, Poweshiek, Tama & Iowa Counties PUMA",1
"12","19 01300","Story & Boone Counties--Ames City PUMA",1
"13","19 01400","Warren, Jasper, Marion, Dallas (West) & Madison Counties PUMA",1
"14","19 01500","Polk (Southwest) & Dallas (East) Counties--West Des Moines & Urbandale Cities PUMA",1
"15","19 01600","Polk County (East)--Ankeny & Altoona Cities PUMA",1
"16","19 01700","Des Moines City PUMA",1
"17","19 01800","South Central Iowa PUMA",3
"18","19 01900","Northwest Central Iowa--Storm Lake, Denison & Cherokee Region PUMA",3
"19","19 02000","Woodbury & Plymouth Counties--Sioux City PUMA",1
"20","19 02100","Southwest Iowa--Council Bluffs City PUMA",2
"21","19 02200","Wapello, Mahaska, Washington, Jefferson, Keokuk, Davis & Van Buren Counties PUMA",1
"22","19 02300","Des Moines, Lee, Henry & Louisa Counties PUMA",1
